skill,city,sector,mention_count,week_over_week_change,month_over_month_change,direction,gov_training_seats,gov_courses,has_gov_course,snapshot_date
Computer Vision,Mysuru,All,500,21,76,rising,0,[],f,2026-03-06 03:15:31.596464+00
Data Entry,Surat,All,500,-23,-78,declining,0,[],f,2026-03-06 03:15:31.537794+00
Product Management,Ahmedabad,All,500,12,47,rising,0,[],f,2026-03-06 03:15:31.444494+00
Dreamweaver,Nagpur,All,499,-3,-18,declining,0,[],f,2026-03-06 03:15:31.46043+00
Hardware Troubleshooting,Mumbai,All,499,-5,-27,declining,0,[],f,2026-03-06 03:15:31.378479+00
Prompt Engineering,Mangaluru,All,499,38,143,rising,0,[],f,2026-03-06 03:15:31.658595+00
Machine Learning,Patna,All,499,30,115,rising,4311,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.543644+00
Dreamweaver,Guwahati,All,499,-8,-23,declining,0,[],f,2026-03-06 03:15:31.710893+00
DevOps/CI-CD,Agra,All,498,22,72,rising,2897,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.712814+00
React/Next.js,Jaipur,All,498,18,63,rising,1294,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.483141+00
Traditional SEO,Coimbatore,All,498,-15,-40,declining,0,[],f,2026-03-06 03:15:31.47825+00
Prompt Engineering,Chandigarh,All,498,47,152,rising,0,[],f,2026-03-06 03:15:31.553169+00
Natural Language Processing,Bhopal,All,498,38,126,rising,0,[],f,2026-03-06 03:15:31.514443+00
Print Media Design,Surat,All,498,-13,-45,declining,0,[],f,2026-03-06 03:15:31.540036+00
LLM Fine-Tuning,Ranchi,All,497,30,108,rising,0,[],f,2026-03-06 03:15:31.638837+00
Blockchain,Bangalore,All,496,9,34,rising,0,[],f,2026-03-06 03:15:31.394803+00
Tally Accounting,Jabalpur,All,496,-9,-39,declining,0,[],f,2026-03-06 03:15:31.73832+00
VB.NET,Madurai,All,495,-8,-35,declining,0,[],f,2026-03-06 03:15:31.615467+00
Desktop Publishing,Bhopal,All,495,-13,-55,declining,0,[],f,2026-03-06 03:15:31.519378+00
Desktop Publishing,Raipur,All,493,-19,-61,declining,0,[],f,2026-03-06 03:15:31.69832+00
Shorthand,Hyderabad,All,493,-34,-109,declining,0,[],f,2026-03-06 03:15:31.409365+00
Manual Testing,Jodhpur,All,493,-23,-68,declining,0,[],f,2026-03-06 03:15:31.632342+00
Network Cabling,Raipur,All,492,-12,-29,declining,0,[],f,2026-03-06 03:15:31.699632+00
Basic Excel,Mysuru,All,492,-20,-57,declining,0,[],f,2026-03-06 03:15:31.600955+00
Dreamweaver,Delhi,All,492,-3,-18,declining,0,[],f,2026-03-06 03:15:31.389574+00
Cloud Computing (AWS),Dehradun,All,492,26,89,rising,2427,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.648743+00
Shorthand,Tiruchirappalli,All,491,-27,-102,declining,0,[],f,2026-03-06 03:15:31.689408+00
Basic Excel,Chennai,All,491,-19,-56,declining,0,[],f,2026-03-06 03:15:31.416086+00
Product Management,Delhi,All,491,16,51,rising,0,[],f,2026-03-06 03:15:31.383911+00
Prompt Engineering,Varanasi,All,491,39,144,rising,0,[],f,2026-03-06 03:15:31.721403+00
Cold Calling,Kochi,All,491,-20,-70,declining,0,[],f,2026-03-06 03:15:31.570196+00
Hardware Troubleshooting,Indore,All,490,-13,-35,declining,0,[],f,2026-03-06 03:15:31.469658+00
Dreamweaver,Vadodara,All,490,-8,-23,declining,0,[],f,2026-03-06 03:15:31.532008+00
Hardware Troubleshooting,Bhopal,All,489,-7,-29,declining,0,[],f,2026-03-06 03:15:31.520524+00
Data Entry,Rajkot,All,489,-19,-74,declining,0,[],f,2026-03-06 03:15:31.621681+00
Prompt Engineering,Guwahati,All,489,39,144,rising,0,[],f,2026-03-06 03:15:31.700574+00
Cold Calling,Chennai,All,488,-18,-68,declining,0,[],f,2026-03-06 03:15:31.416789+00
Manual Testing,Lucknow,All,488,-23,-68,declining,0,[],f,2026-03-06 03:15:31.507066+00
Network Cabling,Tiruchirappalli,All,488,-10,-27,declining,0,[],f,2026-03-06 03:15:31.689123+00
AI-assisted Content Moderation,Bangalore,All,487,75,275,rising,0,[],f,2026-03-06 03:15:31.392511+00
Traditional SEO,Dehradun,All,487,-15,-40,declining,0,[],f,2026-03-06 03:15:31.655683+00
AI Quality Review,Tiruchirappalli,All,486,43,138,rising,0,[],f,2026-03-06 03:15:31.679841+00
Data Engineering,Thiruvananthapuram,All,486,23,83,rising,3407,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.58735+00
UI/UX Design,Rajkot,All,486,12,50,rising,2691,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.620128+00
Python for Data,Kochi,All,486,31,104,rising,3750,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.563943+00
Print Media Design,Nashik,All,486,-12,-44,declining,0,[],f,2026-03-06 03:15:31.498904+00
React/Next.js,Mysuru,All,486,13,58,rising,2761,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.596956+00
VB.NET,Kolkata,All,486,-9,-36,declining,0,[],f,2026-03-06 03:15:31.429816+00
PHP Development,Nashik,All,486,-12,-47,declining,0,[],f,2026-03-06 03:15:31.497643+00
Manual Bookkeeping,Agra,All,486,-21,-61,declining,0,[],f,2026-03-06 03:15:31.71839+00
Product Management,Siliguri,All,485,9,44,rising,0,[],f,2026-03-06 03:15:31.746744+00
React/Next.js,Indore,All,485,16,61,rising,1452,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.4627+00
Product Management,Jabalpur,All,484,11,46,rising,0,[],f,2026-03-06 03:15:31.736173+00
Cybersecurity,Coimbatore,All,484,32,100,rising,4597,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.473079+00
Kubernetes/Docker,Raipur,All,484,16,64,rising,0,[],f,2026-03-06 03:15:31.693619+00
AI Quality Review,Chandigarh,All,484,42,137,rising,0,[],f,2026-03-06 03:15:31.553405+00
Hardware Troubleshooting,Agra,All,483,-14,-36,declining,0,[],f,2026-03-06 03:15:31.720133+00
Traditional SEO,Raipur,All,483,-5,-30,declining,0,[],f,2026-03-06 03:15:31.697673+00
Copy Typing,Visakhapatnam,All,483,-27,-97,declining,0,[],f,2026-03-06 03:15:31.580715+00
Tally Accounting,Agra,All,482,-16,-46,declining,0,[],f,2026-03-06 03:15:31.717369+00
Tally Accounting,Ranchi,All,482,-16,-46,declining,0,[],f,2026-03-06 03:15:31.643814+00
Basic Excel,Siliguri,All,482,-14,-51,declining,0,[],f,2026-03-06 03:15:31.748554+00
Legacy COBOL,Pune,All,482,-8,-28,declining,0,[],f,2026-03-06 03:15:31.438984+00
UI/UX Design,Visakhapatnam,All,482,20,58,rising,2601,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.577643+00
Print Media Design,Agra,All,482,-9,-41,declining,0,[],f,2026-03-06 03:15:31.718894+00
Tableau/Power BI,Delhi,All,481,13,53,rising,1732,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.38343+00
UI/UX Design,Lucknow,All,481,10,48,rising,696,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.505321+00
Copy Typing,Jaipur,All,481,-32,-102,declining,0,[],f,2026-03-06 03:15:31.48804+00
UI/UX Design,Indore,All,481,19,57,rising,3858,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.464488+00
Copy Typing,Pune,All,481,-27,-97,declining,0,[],f,2026-03-06 03:15:31.437281+00
Traditional SEO,Chandigarh,All,480,-10,-35,declining,0,[],f,2026-03-06 03:15:31.560731+00
Prompt Engineering,Bangalore,All,480,41,146,rising,0,[],f,2026-03-06 03:15:31.389828+00
Legacy COBOL,Guwahati,All,480,-12,-32,declining,0,[],f,2026-03-06 03:15:31.709655+00
AI-assisted Content Moderation,Patna,All,480,79,279,rising,0,[],f,2026-03-06 03:15:31.54526+00
Voice Support,Rajkot,All,479,-35,-112,declining,0,[],f,2026-03-06 03:15:31.621429+00
Basic Excel,Tiruchirappalli,All,479,-15,-52,declining,0,[],f,2026-03-06 03:15:31.685642+00
Telemarketing,Coimbatore,All,479,-25,-87,declining,0,[],f,2026-03-06 03:15:31.479054+00
Blockchain,Vadodara,All,478,9,34,rising,0,[],f,2026-03-06 03:15:31.526563+00
Legacy COBOL,Delhi,All,477,-8,-28,declining,0,[],f,2026-03-06 03:15:31.388349+00
Blockchain,Visakhapatnam,All,477,13,38,rising,0,[],f,2026-03-06 03:15:31.578681+00
Desktop Publishing,Coimbatore,All,477,-18,-60,declining,0,[],f,2026-03-06 03:15:31.478812+00
PHP Development,Bhopal,All,477,-13,-48,declining,0,[],f,2026-03-06 03:15:31.517884+00
Natural Language Processing,Kochi,All,477,30,118,rising,0,[],f,2026-03-06 03:15:31.566391+00
Desktop Publishing,Mysuru,All,476,-20,-62,declining,0,[],f,2026-03-06 03:15:31.603123+00
Basic Excel,Bhopal,All,476,-16,-53,declining,0,[],f,2026-03-06 03:15:31.517397+00
Print Media Design,Tiruchirappalli,All,475,-15,-47,declining,0,[],f,2026-03-06 03:15:31.68748+00
Shorthand,Thiruvananthapuram,All,475,-33,-108,declining,0,[],f,2026-03-06 03:15:31.594182+00
PHP Development,Jodhpur,All,475,-16,-51,declining,0,[],f,2026-03-06 03:15:31.633116+00
Telemarketing,Pune,All,475,-28,-90,declining,0,[],f,2026-03-06 03:15:31.43849+00
AI-assisted Content Moderation,Visakhapatnam,All,474,77,277,rising,0,[],f,2026-03-06 03:15:31.576318+00
Manual Testing,Kolkata,All,474,-16,-61,declining,0,[],f,2026-03-06 03:15:31.425884+00
Product Management,Kochi,All,474,13,48,rising,0,[],f,2026-03-06 03:15:31.567632+00
LLM Fine-Tuning,Raipur,All,474,27,105,rising,0,[],f,2026-03-06 03:15:31.691472+00
AI-assisted Content Moderation,Chennai,All,474,77,277,rising,0,[],f,2026-03-06 03:15:31.412749+00
Data Engineering,Rajkot,All,474,20,80,rising,608,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Data Engineering Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.619352+00
DevOps/CI-CD,Siliguri,All,473,23,73,rising,1289,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.744531+00
Copy Typing,Agra,All,473,-25,-95,declining,0,[],f,2026-03-06 03:15:31.718134+00
Tally Accounting,Patna,All,473,-16,-46,declining,0,[],f,2026-03-06 03:15:31.549184+00
AI Quality Review,Ahmedabad,All,472,35,130,rising,0,[],f,2026-03-06 03:15:31.440645+00
Machine Learning,Varanasi,All,472,31,116,rising,3476,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.722438+00
VB.NET,Patna,All,471,-6,-33,declining,0,[],f,2026-03-06 03:15:31.552669+00
Machine Learning,Nashik,All,471,34,119,rising,3974,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.492269+00
DevOps/CI-CD,Tiruchirappalli,All,471,17,67,rising,4665,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.681537+00
Shorthand,Nashik,All,471,-32,-107,declining,0,[],f,2026-03-06 03:15:31.500623+00
Desktop Publishing,Hubli,All,471,-14,-56,declining,0,[],f,2026-03-06 03:15:31.677313+00
Computer Vision,Surat,All,470,20,75,rising,0,[],f,2026-03-06 03:15:31.533814+00
LLM Fine-Tuning,Mangaluru,All,470,33,111,rising,0,[],f,2026-03-06 03:15:31.659977+00
AI Quality Review,Lucknow,All,469,40,135,rising,0,[],f,2026-03-06 03:15:31.501625+00
VB.NET,Varanasi,All,468,-11,-38,declining,0,[],f,2026-03-06 03:15:31.731372+00
Filing/Clerical,Jabalpur,All,468,-16,-63,declining,0,[],f,2026-03-06 03:15:31.74073+00
Copy Typing,Siliguri,All,468,-24,-94,declining,0,[],f,2026-03-06 03:15:31.749586+00
Computer Vision,Jaipur,All,467,26,81,rising,0,[],f,2026-03-06 03:15:31.482622+00
Filing/Clerical,Madurai,All,467,-22,-69,declining,0,[],f,2026-03-06 03:15:31.614218+00
Hardware Troubleshooting,Ahmedabad,All,467,-10,-32,declining,0,[],f,2026-03-06 03:15:31.44927+00
Hardware Troubleshooting,Visakhapatnam,All,466,-9,-31,declining,0,[],f,2026-03-06 03:15:31.582831+00
Machine Learning,Hyderabad,All,466,36,121,rising,616,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.401176+00
Cloud Computing (AWS),Kochi,All,466,27,90,rising,4980,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.56433+00
Agile/Scrum,Hubli,All,465,7,37,rising,1465,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.673636+00
Dreamweaver,Kochi,All,464,-2,-17,declining,0,[],f,2026-03-06 03:15:31.573542+00
Blockchain,Hyderabad,All,464,13,38,rising,0,[],f,2026-03-06 03:15:31.404852+00
Copy Typing,Bhopal,All,464,-30,-100,declining,0,[],f,2026-03-06 03:15:31.518384+00
Tableau/Power BI,Agra,All,464,17,57,rising,1023,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.714611+00
Voice Support,Siliguri,All,463,-27,-104,declining,0,[],f,2026-03-06 03:15:31.747764+00
Machine Learning,Mangaluru,All,463,38,123,rising,3189,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.659705+00
Voice Support,Dehradun,All,463,-33,-110,declining,0,[],f,2026-03-06 03:15:31.653224+00
Traditional SEO,Visakhapatnam,All,463,-7,-32,declining,0,[],f,2026-03-06 03:15:31.581207+00
Machine Learning,Dehradun,All,462,34,119,rising,3354,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.649051+00
Desktop Publishing,Chandigarh,All,462,-20,-62,declining,0,[],f,2026-03-06 03:15:31.56122+00
Desktop Publishing,Bangalore,All,462,-21,-63,declining,0,[],f,2026-03-06 03:15:31.397798+00
Product Management,Chandigarh,All,462,10,45,rising,0,[],f,2026-03-06 03:15:31.557368+00
Manual Testing,Bhopal,All,462,-13,-58,declining,0,[],f,2026-03-06 03:15:31.517144+00
DevOps/CI-CD,Mumbai,All,461,15,65,rising,4735,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.370665+00
Data Entry,Coimbatore,All,461,-20,-75,declining,0,[],f,2026-03-06 03:15:31.476179+00
PHP Development,Lucknow,All,460,-16,-51,declining,0,[],f,2026-03-06 03:15:31.507807+00
AI-assisted Content Moderation,Kolkata,All,460,80,280,rising,0,[],f,2026-03-06 03:15:31.422765+00
Filing/Clerical,Mangaluru,All,460,-15,-62,declining,0,[],f,2026-03-06 03:15:31.667308+00
Basic Excel,Madurai,All,460,-10,-47,declining,0,[],f,2026-03-06 03:15:31.611679+00
PHP Development,Agra,All,459,-9,-44,declining,0,[],f,2026-03-06 03:15:31.717615+00
Cybersecurity,Surat,All,459,28,96,rising,3273,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.534575+00
Data Entry,Madurai,All,458,-17,-72,declining,0,[],f,2026-03-06 03:15:31.611154+00
Filing/Clerical,Coimbatore,All,458,-15,-62,declining,0,[],f,2026-03-06 03:15:31.479307+00
Basic Excel,Dehradun,All,458,-12,-49,declining,0,[],f,2026-03-06 03:15:31.65411+00
React/Next.js,Varanasi,All,458,14,59,rising,1146,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.723471+00
Natural Language Processing,Guwahati,All,457,40,128,rising,0,[],f,2026-03-06 03:15:31.703479+00
